year,institution,patient_status,sex,value,footnote_marker
1872,Oslo,Melancholia cum stupore,Kv.,NA,NA
1872,Oslo,Melancholia cum stupore,Md.,NA,NA
1872,Oslo,Monomania,Kv.,NA,NA
1872,Oslo,Monomania,Md.,NA,NA
1872,Oslo,Paralysis generalis,Kv.,NA,NA
1872,Oslo,Paralysis generalis,Md.,NA,NA
1872,Oslo,Stupiditas,Kv.,NA,NA
1872,Oslo,Stupiditas,Md.,NA,NA
1872,Oslo,Til observasjon,Kv.,NA,NA
1872,Oslo,Til observasjon,Md.,NA,NA
1872,Rosenberg,Delirium tremens,Kv.,NA,NA
1872,Rosenberg,Delirium tremens,Md.,2,NA
1872,Rosenberg,Dementia,Kv.,3,NA
1872,Rosenberg,Dementia,Md.,2,NA
1872,Rosenberg,Epilepsia,Kv.,1,NA
1872,Rosenberg,Epilepsia,Md.,NA,NA
1872,Rosenberg,Hemiplegia,Kv.,NA,NA
1872,Rosenberg,Hemiplegia,Md.,NA,NA
1872,Rosenberg,Idiotismus - acqusitus,Kv.,1,NA
1872,Rosenberg,Idiotismus - acqusitus,Md.,NA,NA
1872,Rosenberg,Idiotismus - congenitus,Kv.,2,NA
1872,Rosenberg,Idiotismus - congenitus,Md.,NA,NA
1872,Rosenberg,Mania,Kv.,4,NA
1872,Rosenberg,Mania,Md.,8,NA
1872,Rosenberg,Melancholia,Kv.,4,NA
1872,Rosenberg,Melancholia,Md.,5,NA
1872,Rosenberg,Melancholia cum stupore,Kv.,NA,NA
1872,Rosenberg,Melancholia cum stupore,Md.,NA,NA
1872,Rosenberg,Monomania,Kv.,NA,NA
1872,Rosenberg,Monomania,Md.,NA,NA
1872,Rosenberg,Paralysis generalis,Kv.,NA,NA
1872,Rosenberg,Paralysis generalis,Md.,NA,NA
1872,Rosenberg,Stupiditas,Kv.,NA,NA
1872,Rosenberg,Stupiditas,Md.,NA,NA
1872,Rosenberg,Til observasjon,Kv.,NA,NA
1872,Rosenberg,Til observasjon,Md.,NA,NA
1872,Rotvoll,Delirium tremens,Kv.,NA,NA
1872,Rotvoll,Delirium tremens,Md.,NA,NA
1872,Rotvoll,Dementia,Kv.,6,NA
1872,Rotvoll,Dementia,Md.,12,NA
1872,Rotvoll,Epilepsia,Kv.,2,NA
1872,Rotvoll,Epilepsia,Md.,2,NA
1872,Rotvoll,Hemiplegia,Kv.,NA,NA
1872,Rotvoll,Hemiplegia,Md.,NA,NA
1872,Rotvoll,Idiotismus - acqusitus,Kv.,NA,NA
1872,Rotvoll,Idiotismus - acqusitus,Md.,NA,NA
1872,Rotvoll,Idiotismus - congenitus,Kv.,2,NA
1872,Rotvoll,Idiotismus - congenitus,Md.,3,NA
1872,Rotvoll,Mania,Kv.,15,NA
1872,Rotvoll,Mania,Md.,17,NA
1872,Rotvoll,Melancholia,Kv.,39,NA
1872,Rotvoll,Melancholia,Md.,30,NA
1872,Rotvoll,Melancholia cum stupore,Kv.,1,NA
1872,Rotvoll,Melancholia cum stupore,Md.,1,NA
1872,Rotvoll,Monomania,Kv.,2,NA
1872,Rotvoll,Monomania,Md.,4,NA
1872,Rotvoll,Paralysis generalis,Kv.,NA,NA
1872,Rotvoll,Paralysis generalis,Md.,1,NA
1872,Rotvoll,Stupiditas,Kv.,NA,NA
1872,Rotvoll,Stupiditas,Md.,NA,NA
1872,Rotvoll,Til observasjon,Kv.,1,NA
1872,Rotvoll,Til observasjon,Md.,2,NA
1872,Stavanger,Delirium tremens,Kv.,NA,NA
1872,Stavanger,Delirium tremens,Md.,NA,NA
1872,Stavanger,Dementia,Kv.,NA,NA
1872,Stavanger,Dementia,Md.,NA,NA
1872,Stavanger,Epilepsia,Kv.,NA,NA
1872,Stavanger,Epilepsia,Md.,NA,NA
1872,Stavanger,Hemiplegia,Kv.,NA,NA
1872,Stavanger,Hemiplegia,Md.,NA,NA
1872,Stavanger,Idiotismus - acqusitus,Kv.,NA,NA
1872,Stavanger,Idiotismus - acqusitus,Md.,NA,NA
1872,Stavanger,Idiotismus - congenitus,Kv.,NA,NA
1872,Stavanger,Idiotismus - congenitus,Md.,NA,NA
1872,Stavanger,Mania,Kv.,NA,NA
1872,Stavanger,Mania,Md.,1,NA
1872,Stavanger,Melancholia,Kv.,1,NA
1872,Stavanger,Melancholia,Md.,1,NA
1872,Stavanger,Melancholia cum stupore,Kv.,NA,NA
1872,Stavanger,Melancholia cum stupore,Md.,NA,NA
1872,Stavanger,Monomania,Kv.,NA,NA
1872,Stavanger,Monomania,Md.,NA,NA
1872,Stavanger,Paralysis generalis,Kv.,NA,NA
1872,Stavanger,Paralysis generalis,Md.,NA,NA
1872,Stavanger,Stupiditas,Kv.,NA,NA
1872,Stavanger,Stupiditas,Md.,NA,NA
1872,Stavanger,Til observasjon,Kv.,NA,NA
1872,Stavanger,Til observasjon,Md.,NA,NA
1872,Trondhjem,Delirium tremens,Kv.,NA,NA
1872,Trondhjem,Delirium tremens,Md.,NA,NA
1872,Trondhjem,Dementia,Kv.,1,NA
1872,Trondhjem,Dementia,Md.,2,NA
1872,Trondhjem,Epilepsia,Kv.,NA,NA
1872,Trondhjem,Epilepsia,Md.,NA,NA
1872,Trondhjem,Hemiplegia,Kv.,NA,NA
1872,Trondhjem,Hemiplegia,Md.,NA,NA
1872,Trondhjem,Idiotismus - acqusitus,Kv.,1,NA
1872,Trondhjem,Idiotismus - acqusitus,Md.,1,NA
1872,Trondhjem,Idiotismus - congenitus,Kv.,NA,NA
1872,Trondhjem,Idiotismus - congenitus,Md.,NA,NA
1872,Trondhjem,Mania,Kv.,2,NA
1872,Trondhjem,Mania,Md.,1,NA
1872,Trondhjem,Melancholia,Kv.,6,NA
1872,Trondhjem,Melancholia,Md.,2,NA
1872,Trondhjem,Melancholia cum stupore,Kv.,NA,NA
1872,Trondhjem,Melancholia cum stupore,Md.,NA,NA
1872,Trondhjem,Monomania,Kv.,NA,NA
1872,Trondhjem,Monomania,Md.,NA,NA
1872,Trondhjem,Paralysis generalis,Kv.,NA,NA
1872,Trondhjem,Paralysis generalis,Md.,NA,NA
1872,Trondhjem,Stupiditas,Kv.,NA,NA
1872,Trondhjem,Stupiditas,Md.,NA,NA
1872,Trondhjem,Til observasjon,Kv.,NA,NA
1872,Trondhjem,Til observasjon,Md.,NA,NA
1873,Bergen,Delirium tremens,Kv.,NA,NA
1873,Bergen,Delirium tremens,Md.,NA,NA
1873,Bergen,Dementia,Kv.,5,NA
1873,Bergen,Dementia,Md.,7,NA
1873,Bergen,Epilepsia,Kv.,NA,NA
1873,Bergen,Epilepsia,Md.,NA,NA
1873,Bergen,Idiotismus - acquisitus,Kv.,NA,NA
1873,Bergen,Idiotismus - acquisitus,Md.,NA,NA
1873,Bergen,Idiotismus - congenitus,Kv.,NA,NA
1873,Bergen,Idiotismus - congenitus,Md.,NA,NA
1873,Bergen,Mania,Kv.,7,NA
1873,Bergen,Mania,Md.,4,NA
1873,Bergen,Melancholia,Kv.,9,NA
1873,Bergen,Melancholia,Md.,5,NA
1873,Bergen,Melancholia cum stupore,Kv.,NA,NA
1873,Bergen,Melancholia cum stupore,Md.,NA,NA
1873,Bergen,Monomania,Kv.,NA,NA
1873,Bergen,Monomania,Md.,NA,NA
1873,Bergen,Paralysis generalis,Kv.,NA,NA
1873,Bergen,Paralysis generalis,Md.,1,NA
1873,Bergen,Til observasjon,Kv.,NA,NA
1873,Bergen,Til observasjon,Md.,NA,NA
1873,Gaustad,Delirium tremens,Kv.,NA,NA
1873,Gaustad,Delirium tremens,Md.,NA,NA
1873,Gaustad,Dementia,Kv.,24,NA
1873,Gaustad,Dementia,Md.,31,NA
1873,Gaustad,Epilepsia,Kv.,1,NA
1873,Gaustad,Epilepsia,Md.,4,NA
1873,Gaustad,Idiotismus - acquisitus,Kv.,NA,NA
1873,Gaustad,Idiotismus - acquisitus,Md.,3,NA
1873,Gaustad,Idiotismus - congenitus,Kv.,NA,NA
1873,Gaustad,Idiotismus - congenitus,Md.,NA,NA
1873,Gaustad,Mania,Kv.,38,NA
1873,Gaustad,Mania,Md.,40,NA
1873,Gaustad,Melancholia,Kv.,43,NA
1873,Gaustad,Melancholia,Md.,38,NA
1873,Gaustad,Melancholia cum stupore,Kv.,1,NA
1873,Gaustad,Melancholia cum stupore,Md.,NA,NA
1873,Gaustad,Monomania,Kv.,NA,NA
1873,Gaustad,Monomania,Md.,NA,NA
1873,Gaustad,Paralysis generalis,Kv.,NA,NA
1873,Gaustad,Paralysis generalis,Md.,4,NA
1873,Gaustad,Til observasjon,Kv.,NA,NA
1873,Gaustad,Til observasjon,Md.,1,NA
1873,Kristiania,Delirium tremens,Kv.,NA,NA
1873,Kristiania,Delirium tremens,Md.,1,NA
1873,Kristiania,Dementia,Kv.,5,NA
1873,Kristiania,Dementia,Md.,6,NA
1873,Kristiania,Epilepsia,Kv.,1,NA
1873,Kristiania,Epilepsia,Md.,1,NA
1873,Kristiania,Idiotismus - acquisitus,Kv.,1,NA
1873,Kristiania,Idiotismus - acquisitus,Md.,NA,NA
1873,Kristiania,Idiotismus - congenitus,Kv.,NA,NA
1873,Kristiania,Idiotismus - congenitus,Md.,NA,NA
1873,Kristiania,Mania,Kv.,3,NA
1873,Kristiania,Mania,Md.,8,NA
1873,Kristiania,Melancholia,Kv.,14,NA
1873,Kristiania,Melancholia,Md.,7,NA
1873,Kristiania,Melancholia cum stupore,Kv.,NA,NA
1873,Kristiania,Melancholia cum stupore,Md.,NA,NA
1873,Kristiania,Monomania,Kv.,NA,NA
1873,Kristiania,Monomania,Md.,NA,NA
1873,Kristiania,Paralysis generalis,Kv.,NA,NA
1873,Kristiania,Paralysis generalis,Md.,NA,NA
1873,Kristiania,Til observasjon,Kv.,NA,NA
1873,Kristiania,Til observasjon,Md.,NA,NA
1873,Kristiansand,Delirium tremens,Kv.,5,NA
1873,Kristiansand,Delirium tremens,Md.,3,NA
1873,Kristiansand,Dementia,Kv.,NA,NA
1873,Kristiansand,Dementia,Md.,3,NA
1873,Kristiansand,Epilepsia,Kv.,NA,NA
1873,Kristiansand,Epilepsia,Md.,NA,NA
1873,Kristiansand,Idiotismus - acquisitus,Kv.,NA,NA
1873,Kristiansand,Idiotismus - acquisitus,Md.,NA,NA
1873,Kristiansand,Idiotismus - congenitus,Kv.,NA,NA
1873,Kristiansand,Idiotismus - congenitus,Md.,NA,NA
1873,Kristiansand,Mania,Kv.,NA,NA
1873,Kristiansand,Mania,Md.,NA,NA
1873,Kristiansand,Melancholia,Kv.,NA,NA
1873,Kristiansand,Melancholia,Md.,2,NA
1873,Kristiansand,Melancholia cum stupore,Kv.,1,NA
